content,username,replyto,permalink
"Andrew McCarthy - “I said this could never happen. This is so bad that they should be looking at the judges who signed off on this stuff, not just the people who gave it. It is so bad it screams out at you.”  On the whole FISA scam which led to the rigged Mueller Witch Hunt!",realDonaldTrump,,https://twitter.com/realDonaldTrump/status/1021007656511852544
"Anyone who thinks or said that something like this ""could never happen"" is beyond naive. In fact, if you don't see that the FISA court was actually DESIGNED to do exactly this kind of corrupt clandestine thing then you have a LOT of catching up to do.",USlawreview,"realDonaldTrump,ThomasPaine5",https://twitter.com/USlawreview/status/1021445756425826304
"Of course. When phony baloney warrants are rubber stamped envelope masse. Based on the evidence, what other conclusion could there be? And these people sit on juries weighing evidence against YOU.",ThomasPaine5,"USlawreview,realDonaldTrump",https://twitter.com/ThomasPaine5/status/1021448260895068160
"yes. A real laugher as far as I'm concerned. BUT the masses still run around telling me how it is ""the greatest freedom machine"" ever invented. lol",USlawreview,"ThomasPaine5,realDonaldTrump",https://twitter.com/USlawreview/status/1021448536251039744
I believe the real reason that 'felons' are not allowed to vote is that they know what the system really is.,ThomasPaine5,"USlawreview,realDonaldTrump",https://twitter.com/ThomasPaine5/status/1021448970734882817
certainly a good reason for the system to not allow it. And certainly ONE of the reasons.,USlawreview,"ThomasPaine5,realDonaldTrump",https://twitter.com/USlawreview/status/1021449300218441729
"The 4 judges who signed off on the 4 Carter Page FISA applications were all appointed by Republican presidents:

-Anne Conway (appointed by George H.W. Bush)
-Rosemary Collyer and Michael Mosman (appointed by George W. Bush)
-Raymond Dearie (appointed by Ronald Reagan)",stopthenutjob,realDonaldTrump,https://twitter.com/stopthenutjob/status/1021007816625217536
Is anyone surprised Obama committed treason against America? Nope!,The_Trump_Train,realDonaldTrump,https://twitter.com/The_Trump_Train/status/1021008188974555136
pic.twitter.com/PbBz6oe5Q6,RogueFirstLady,realDonaldTrump,https://twitter.com/RogueFirstLady/status/1021008693746388992
"Still calling it a witch hunt when President Putin admitted on the world stage that he tried to help you win the election & directed 12 Russians to hack USA! And your own campaign has produced 100’s of indictments, guilty pleas & criminal charges “Russia if you’re listening....”",valerie135,realDonaldTrump,https://twitter.com/valerie135/status/1021062236314521602
"4 actual judges who understand the law and the process. 400 pages of actual evidence. 32 actual indictments on over 100 charges. Guilty pleas already entered. Prison terms already served. 

If it's a witch hunt, you're the boss witch and you have the boss target on your back.",JaxsonAgincourt,realDonaldTrump,https://twitter.com/JaxsonAgincourt/status/1021091824285495296
"Obama-Hillary stole millions from Swiss Bank (UBS) in exhanging for burying the terrorist finance connection to Covington and Burling and Eric Holder and Lanny Breuer and Loretta Lynch at the DOJ.  All documented here:,http://www.,shellgamewhistleblower.com, ",armypsyop,realDonaldTrump,https://twitter.com/armypsyop/status/1021490283148713984
"If Trump did what any of the past presidents did they’d be calling it Treason,pic.twitter.com/YDaJKgw03b",DirtBagPolitics,realDonaldTrump,https://twitter.com/DirtBagPolitics/status/1021007967448018944
"WATCH: James Clapper admits that Barack Obama ordered the creation of the fraudulent “Intelligence Community Assessment” that led to Mueller being appointed,pic.twitter.com/f8nTiZJRSE",AliDee12017,realDonaldTrump,https://twitter.com/AliDee12017/status/1021409893931241472
Where does he say “fraudulent”?,msgrumpybunny,"AliDee12017,realDonaldTrump",https://twitter.com/msgrumpybunny/status/1021498853256781825
Everyone knows it was all fraudulent!,AliDee12017,"msgrumpybunny,realDonaldTrump",https://twitter.com/AliDee12017/status/1021516854689517568
"Well, Andrew’s been known to prop up dead men before...,pic.twitter.com/gstCZgQO1p",AmishPornStar1,realDonaldTrump,https://twitter.com/AmishPornStar1/status/1021580106878382081
"Omg what a joke! He meant Joseph Mac Carthy, I think. Who never even said that !!!",zaremba_cathy65,"AmishPornStar1,realDonaldTrump",https://twitter.com/zaremba_cathy65/status/1022004679604092929
pic.twitter.com/Cn8dlRkNVn,Trumpgot2go,realDonaldTrump,https://twitter.com/Trumpgot2go/status/1021054122693455872
"McCarthy is correct!  I've said it from the start. When ,@,HillaryClinton, is involved it's criminal corruption!

,#,FireMuellerandRosenstein",DrDHennen,realDonaldTrump,https://twitter.com/DrDHennen/status/1021416249115447297
"@,MattDrudge, Obama appointed judge Rudy Contreras (Strzok's friend) signed FISA warrant based on ,#,FakeDossier, created by ,#,FusionGPS, employee ,#,NellieOhr, submitted to ,@,FBI, husband ,#,BruceOhr,. Judge wouldn't recuse himself was removed took full retirement pkge returned to Miami.,pic.twitter.com/xqVv53pSMU",SyndicatedTalk,realDonaldTrump,https://twitter.com/SyndicatedTalk/status/1021408076526702592
pic.twitter.com/TfJCrJnQSD,CallisonBrandon,realDonaldTrump,https://twitter.com/CallisonBrandon/status/1021407527878242304
Can we just do away with FISA courts entirely now? They are unconstitutional to begin with.,Lumacas,realDonaldTrump,https://twitter.com/Lumacas/status/1021426173379858432
"Can we?   Do you work in government.  ,#,MORONSFOLLOWTRUMP",cokodozo,"Lumacas,realDonaldTrump",https://twitter.com/cokodozo/status/1021610223520423936
You two should do a remake of Weekend At Bernie’s,RobDubJ,realDonaldTrump,https://twitter.com/RobDubJ/status/1021398553619456000
I hate myself. I would watch that,skynetesq,"RobDubJ,realDonaldTrump",https://twitter.com/skynetesq/status/1021401285226999808
"Please close down the ,#,ChildConcentrationCamps",lempimiller,realDonaldTrump,https://twitter.com/lempimiller/status/1021542814851588096
"The ones that ,#,OBAMA, opened?",freefly10,"lempimiller,realDonaldTrump",https://twitter.com/freefly10/status/1021572653662920704
"#,RussianBot",lempimiller,"freefly10,realDonaldTrump",https://twitter.com/lempimiller/status/1021584817631059968
"obama should be arrested and thrown in prison . he had relations with iran and he gave 2,500 iran's citizens ship to america .",alvina71,realDonaldTrump,https://twitter.com/alvina71/status/1021391511257305090
